Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
4/26/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut
4/28/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
4/29/2016 0:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
4/30/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed
4/30/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
4/30/2016 0:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
5/1/2016 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others
5/2/2016 0:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances
5/4/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools
5/3/2016 0:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
5/4/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances
5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
5/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools
5/5/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools
5/11/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
